^MAY$	МАЙ
^JUL(I|IE)$	ЮЛИЯ
^ELMIRA$	ЭЛЬМИРА
^EDUARD$	ЭДУАРД
^EDGAR$	ЭДГАР
^AIG(OU|U)L$	АЙГЮЛЬ
^BRIAN$	БРАЙН
^EUGENE$	ЕВГЕНИЙ
^ULF$	УЛЬФ
^DONALD$	ДОНАЛЬД
OGLY$	ОГЛЫ
OGLU$	ОГЛЫ
^MOSCOW$	МОСКВА
^RUSSIA$	РОССИЯ
^MOSKAU$	МОСКВА
^RUSSLAND$	РОССИЯ
^EUG	ЕВГ
^PETER$	ПЕТР
^ALEXANDER$	АЛЕКСАНДР
^ALEXANDRE$	АЛЕКСАНДР
(SKI|SKY|SKII|SKIY)$	СКИЙ
(EY|EI)$	ЕЙ
AY$	АЙ
(II|IY|Y)$	ИЙ
IA$	ИЯ
Y$	ИЙ
EYE	ЕЙЕ
OFF	ОВ
EFF	ЕВ
^(YE|JE)	Е
(YO|JO)	Е
(YU|JU)	Ю
(YA|JA)	Я
(OY|OI)$	ОЙ
(AY|AI)$	АЙ
(SHCH|SCH)	Щ
INE$	ИН
OIS$	УА
UE$
OU	Ю
AU	О
AY	АЙ
I$	ИЙ
JE	Э
SH	Ш
SCH	Щ
ZH	Ж
TS	Ц
TH	Т
KH	Х
CH	Ч
^Y	Й
A	А
B	Б
C	Ц
D	Д
(E|Ё)	Е
PH	Ф
F	Ф
G	Г
H	Х
I	И
J	Й
K	К
L	Л
M	М
N	Н
O	О
P	П
Q	К
R	Р
S	С
T	Т
U	У
V	В
W	В
X	КС
Y	Ы
Z	З
'	Ь
#	Ъ
