ГОСУДАРСТВЕНОЕ ПРЕДПРИЯТИЕ	ГП
ГОСУДАРСТВЕННОЕ УЧЕРЕЖДЕНИЕ	ГУ
ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ	ГУ
ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ	ГУП
ГОСУЧЕРЕЖДЕНИЕ	ГУП
ГОСУЧРЕЖДЕНИЕ	ГУП
ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ	ЖСК
AOЗТ	ЗАО
АКЦИОНЕРНОЕ ОБЩЕСТВО ЗАКРЫТОГО ТИПА	ЗАО
АОЗТ	ЗАО
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО	ЗАО
ЗАКРЫТОЕ ОБЩЕСТВО	ЗАО
ЗАО	ЗАО
ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ	ИП
ИНДИВИДУАЛЬНОЕ ЧАСТНОЕ ПРЕДПРИЯТИЕ	ИЧП
ИНДИВИДУАЛЬНЫЙ ЧАСТНЫЙ ПРЕДПРИНИМАТЕЛЬ	ИЧП
КООПЕРАТИВ	КООП
КРЕСТЬЯНСКОЕ ФЕРМЕРСКОЕ ХОЗЯЙСТВО	КФХ
ФЕРМЕРСКОЕ ХОЗЯЙСТВО	КФХ
КОЛЛЕКТИВНОЕ ХОЗЯЙСТВО	КХ
КОЛХОЗ	КХ
AOOT	ОАО
АКЦИОНЕРНОЕ ОБЩЕСТВО ОТКРЫТОГО ТИПА	ОАО
АООТ	ОАО
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО	ОАО
000	ООО
ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕНОСТИ	ООО
ОБЩЕСТВО ОГРАНИЧЕНОЙ ОТВЕТСТВЕННОСТИ	ООО
ОБЩЕСТВО ОГРАНИЧЕНОЙ ОТВЕТСТВЕНОСТИ	ООО
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ	ООО
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕНОСТЬЮ	ООО
ОБЩЕСТВО С ОГРАНИЧЕНОЙ ОТВЕТСТВЕННОСТЬЮ	ООО
ОБЩЕСТВО С ОГРАНИЧЕНОЙ ОТВЕТСТВЕНОСТЬЮ	ООО
ПБОЮЛ	ПБОЮЛ
ПРЕДПРИН	ПБОЮЛ
ПРЕДПРИЯТИЕ БЕЗ ОБРАЗОВАНИЯ ЮРИДИЧЕСКОГО ЛИЦА	ПБОЮЛ
ПРЕДПРИЯТИЕ БЕЗ ОБРАЗОВАНИЯ ЮРЛИЦА	ПБОЮЛ
ПРЕДПРИЯТИЕ БЕЗ ЮРИДИЧЕСКОГО ЛИЦА	ПБОЮЛ
ПРЕДПРИЯТИЕ БЕЗ ЮРЛИЦА	ПБОЮЛ
СОВМЕСТНОЕ ПРЕДПРИЯТИЕ	СП
T00	ТОО
TOO	ТОО
Т00	ТОО
ТОВАРИЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕНОСТИ	ТОО
ТОВАРИЩЕСТВО ОГРАНИЧЕНОЙ ОТВЕТСТВЕННОСТИ	ТОО
ТОВАРИЩЕСТВО ОГРАНИЧЕНОЙ ОТВЕТСТВЕНОСТИ	ТОО
ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ	ТОО
ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕНОСТЬЮ	ТОО
ТОВАРИЩЕСТВО С ОГРАНИЧЕНОЙ ОТВЕТСТВЕННОСТЬЮ	ТОО
ТОВАРИЩЕСТВО С ОГРАНИЧЕНОЙ ОТВЕТСТВЕНОСТЬЮ	ТОО
ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ	ТСЖ
ФГУП	ФГУП
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ	ФГУП
ЧАСТНЫЙ ПРЕДПРИНИМАТЕЛЬ	ЧП
